Location,Year,Age,Sex,Cause of death or injury,Measure,Value
Global,2007,All ages,Both,Tuberculosis,Deaths annual % change,"-0,032548776"
Global,2007,All ages,Both,HIV/AIDS,Deaths annual % change,"-0,045662897"
Global,2007,All ages,Both,Diarrheal diseases,Deaths annual % change,"-0,019358474"
Global,2007,All ages,Both,Other intestinal infectious diseases,Deaths annual % change,"-0,066309070"
Global,2007,All ages,Both,Lower respiratory infections,Deaths annual % change,"-0,021149644"
Global,2007,All ages,Both,Upper respiratory infections,Deaths annual % change,"-0,072411543"
Global,2007,All ages,Both,Otitis media,Deaths annual % change,"-0,056684523"
Global,2007,All ages,Both,Meningitis,Deaths annual % change,"-0,037392192"
Global,2007,All ages,Both,Encephalitis,Deaths annual % change,"-0,022998829"
Global,2007,All ages,Both,Diphtheria,Deaths annual % change,"-0,135042873"
Global,2007,All ages,Both,Whooping cough,Deaths annual % change,"-0,044732983"
Global,2007,All ages,Both,Tetanus,Deaths annual % change,"-0,112125959"
Global,2007,All ages,Both,Measles,Deaths annual % change,"-0,135057925"
Global,2007,All ages,Both,Varicella and herpes zoster,Deaths annual % change,"-0,031183622"
Global,2007,All ages,Both,Malaria,Deaths annual % change,"-0,045183258"
Global,2007,All ages,Both,Chagas disease,Deaths annual % change,"-0,014737055"
Global,2007,All ages,Both,Leishmaniasis,Deaths annual % change,"-0,106656618"
Global,2007,All ages,Both,African trypanosomiasis,Deaths annual % change,"-0,181241213"
Global,2007,All ages,Both,Schistosomiasis,Deaths annual % change,"-0,030637965"
Global,2007,All ages,Both,Cysticercosis,Deaths annual % change,"-0,036320894"
Global,2007,All ages,Both,Cystic echinococcosis,Deaths annual % change,"-0,051199381"
Global,2007,All ages,Both,Lymphatic filariasis,Deaths annual % change,0
Global,2007,All ages,Both,Onchocerciasis,Deaths annual % change,0
Global,2007,All ages,Both,Trachoma,Deaths annual % change,0
Global,2007,All ages,Both,Dengue,Deaths annual % change,"0,036266847"
Global,2007,All ages,Both,Yellow fever,Deaths annual % change,"-0,038747964"
Global,2007,All ages,Both,Rabies,Deaths annual % change,"-0,081999370"
Global,2007,All ages,Both,Intestinal nematode infections,Deaths annual % change,"-0,068560738"
Global,2007,All ages,Both,Food-borne trematodiases,Deaths annual % change,0
Global,2007,All ages,Both,Other neglected tropical diseases,Deaths annual % change,"-0,006857005"
Global,2007,All ages,Both,Maternal disorders,Deaths annual % change,"-0,031809767"
Global,2007,All ages,Both,Neonatal disorders,Deaths annual % change,"-0,033578981"
Global,2007,All ages,Both,Protein-energy malnutrition,Deaths annual % change,"-0,034519061"
Global,2007,All ages,Both,Iodine deficiency,Deaths annual % change,0
Global,2007,All ages,Both,Vitamin A deficiency,Deaths annual % change,0
Global,2007,All ages,Both,Dietary iron deficiency,Deaths annual % change,0
Global,2007,All ages,Both,Other nutritional deficiencies,Deaths annual % change,"-0,013273952"
Global,2007,All ages,Both,Sexually transmitted infections excluding HIV,Deaths annual % change,"-0,030372487"
Global,2007,All ages,Both,Acute hepatitis,Deaths annual % change,"-0,026626950"
Global,2007,All ages,Both,Leprosy,Deaths annual % change,0
Global,2007,All ages,Both,Other unspecified infectious diseases,Deaths annual % change,"-0,012119896"
Global,2007,All ages,Both,Esophageal cancer,Deaths annual % change,"-0,016713527"
Global,2007,All ages,Both,Stomach cancer,Deaths annual % change,"-0,014427292"
Global,2007,All ages,Both,Liver cancer,Deaths annual % change,"-0,000299092"
Global,2007,All ages,Both,Larynx cancer,Deaths annual % change,"0,001771476"
Global,2007,All ages,Both,"Tracheal, bronchus, and lung cancer",Deaths annual % change,"0,009495951"
Global,2007,All ages,Both,Breast cancer,Deaths annual % change,"0,006460104"
Global,2007,All ages,Both,Cervical cancer,Deaths annual % change,"-0,003746792"
Global,2007,All ages,Both,Uterine cancer,Deaths annual % change,"0,003840080"
Global,2007,All ages,Both,Prostate cancer,Deaths annual % change,"0,011418227"
Global,2007,All ages,Both,Colon and rectum cancer,Deaths annual % change,"0,009331637"
Global,2007,All ages,Both,Lip and oral cavity cancer,Deaths annual % change,"0,017430735"
Global,2007,All ages,Both,Nasopharynx cancer,Deaths annual % change,"0,003331598"
Global,2007,All ages,Both,Other pharynx cancer,Deaths annual % change,"0,022517283"
Global,2007,All ages,Both,Gallbladder and biliary tract cancer,Deaths annual % change,"0,008886173"
Global,2007,All ages,Both,Pancreatic cancer,Deaths annual % change,"0,021849975"
Global,2007,All ages,Both,Malignant skin melanoma,Deaths annual % change,"0,009297249"
Global,2007,All ages,Both,Non-melanoma skin cancer,Deaths annual % change,"0,021832816"
Global,2007,All ages,Both,Ovarian cancer,Deaths annual % change,"0,007759061"
Global,2007,All ages,Both,Testicular cancer,Deaths annual % change,"-0,003345396"
Global,2007,All ages,Both,Kidney cancer,Deaths annual % change,"0,013492050"
Global,2007,All ages,Both,Bladder cancer,Deaths annual % change,"0,007628679"
Global,2007,All ages,Both,Brain and nervous system cancer,Deaths annual % change,"0,007731680"
Global,2007,All ages,Both,Thyroid cancer,Deaths annual % change,"0,016030006"
Global,2007,All ages,Both,Mesothelioma,Deaths annual % change,"0,016915739"
Global,2007,All ages,Both,Hodgkin lymphoma,Deaths annual % change,"-0,015509434"
Global,2007,All ages,Both,Non-Hodgkin lymphoma,Deaths annual % change,"0,011960165"
Global,2007,All ages,Both,Multiple myeloma,Deaths annual % change,"0,012526407"
Global,2007,All ages,Both,Leukemia,Deaths annual % change,"-0,001804190"
Global,2007,All ages,Both,Other malignant neoplasms,Deaths annual % change,"0,018969038"
Global,2007,All ages,Both,Other neoplasms,Deaths annual % change,"0,018390325"
Global,2007,All ages,Both,Rheumatic heart disease,Deaths annual % change,"-0,017482948"
Global,2007,All ages,Both,Ischemic heart disease,Deaths annual % change,"0,003884185"
Global,2007,All ages,Both,Stroke,Deaths annual % change,"-0,006986486"
Global,2007,All ages,Both,Hypertensive heart disease,Deaths annual % change,"0,024205067"
Global,2007,All ages,Both,Cardiomyopathy and myocarditis,Deaths annual % change,"-0,010274713"
Global,2007,All ages,Both,Atrial fibrillation and flutter,Deaths annual % change,"0,025084056"
Global,2007,All ages,Both,Aortic aneurysm,Deaths annual % change,"-0,000114974"
Global,2007,All ages,Both,Peripheral artery disease,Deaths annual % change,"0,032939982"
Global,2007,All ages,Both,Endocarditis,Deaths annual % change,"0,013131089"
