Location,Year,Age,Sex,Cause of death or injury,Measure,Value
Global,2017,All ages,Both,Tuberculosis,Percent of total deaths,2.1157375999999997
Global,2007,All ages,Both,Tuberculosis,Deaths annual % change,-0.032548776
Global,2017,All ages,Both,HIV/AIDS,Percent of total deaths,1.7061125
Global,2007,All ages,Both,HIV/AIDS,Deaths annual % change,-0.045662897
Global,2017,All ages,Both,Diarrheal diseases,Percent of total deaths,2.8053310000000002
Global,2007,All ages,Both,Diarrheal diseases,Deaths annual % change,-0.019358474
Global,2017,All ages,Both,Other intestinal infectious diseases,Percent of total deaths,0.002587234796
Global,2007,All ages,Both,Other intestinal infectious diseases,Deaths annual % change,-0.06630907
Global,2017,All ages,Both,Lower respiratory infections,Percent of total deaths,4.5733648
Global,2007,All ages,Both,Lower respiratory infections,Deaths annual % change,-0.021149644
Global,2017,All ages,Both,Upper respiratory infections,Percent of total deaths,0.0162867
Global,2007,All ages,Both,Upper respiratory infections,Deaths annual % change,-0.072411543
Global,2017,All ages,Both,Otitis media,Percent of total deaths,0.001694403859
Global,2007,All ages,Both,Otitis media,Deaths annual % change,-0.056684523
Global,2017,All ages,Both,Meningitis,Percent of total deaths,0.5148121999999999
Global,2007,All ages,Both,Meningitis,Deaths annual % change,-0.037392192
Global,2017,All ages,Both,Encephalitis,Percent of total deaths,0.165106
Global,2007,All ages,Both,Encephalitis,Deaths annual % change,-0.022998829
Global,2017,All ages,Both,Diphtheria,Percent of total deaths,0.006477768907
Global,2007,All ages,Both,Diphtheria,Deaths annual % change,-0.135042873
Global,2017,All ages,Both,Whooping cough,Percent of total deaths,0.1640801
Global,2007,All ages,Both,Whooping cough,Deaths annual % change,-0.044732983
Global,2017,All ages,Both,Tetanus,Percent of total deaths,0.0681614
Global,2007,All ages,Both,Tetanus,Deaths annual % change,-0.112125959
Global,2017,All ages,Both,Measles,Percent of total deaths,0.1703471
Global,2007,All ages,Both,Measles,Deaths annual % change,-0.135057925
Global,2017,All ages,Both,Varicella and herpes zoster,Percent of total deaths,0.0278669
Global,2007,All ages,Both,Varicella and herpes zoster,Deaths annual % change,-0.031183622
Global,2017,All ages,Both,Malaria,Percent of total deaths,1.107834
Global,2007,All ages,Both,Malaria,Deaths annual % change,-0.045183258
Global,2017,All ages,Both,Chagas disease,Percent of total deaths,0.0140372
Global,2007,All ages,Both,Chagas disease,Deaths annual % change,-0.014737055
Global,2017,All ages,Both,Leishmaniasis,Percent of total deaths,0.013456300000000001
Global,2007,All ages,Both,Leishmaniasis,Deaths annual % change,-0.106656618
Global,2017,All ages,Both,African trypanosomiasis,Percent of total deaths,0.0024393337310000002
Global,2007,All ages,Both,African trypanosomiasis,Deaths annual % change,-0.181241213
Global,2017,All ages,Both,Schistosomiasis,Percent of total deaths,0.015795
Global,2007,All ages,Both,Schistosomiasis,Deaths annual % change,-0.030637965
Global,2017,All ages,Both,Cysticercosis,Percent of total deaths,0.001339082388
Global,2007,All ages,Both,Cysticercosis,Deaths annual % change,-0.036320894
Global,2017,All ages,Both,Cystic echinococcosis,Percent of total deaths,0.002138606245
Global,2007,All ages,Both,Cystic echinococcosis,Deaths annual % change,-0.051199381
Global,2017,All ages,Both,Lymphatic filariasis,Percent of total deaths,0
Global,2007,All ages,Both,Lymphatic filariasis,Deaths annual % change,0
Global,2017,All ages,Both,Onchocerciasis,Percent of total deaths,0
Global,2007,All ages,Both,Onchocerciasis,Deaths annual % change,0
Global,2017,All ages,Both,Trachoma,Percent of total deaths,0
Global,2007,All ages,Both,Trachoma,Deaths annual % change,0
Global,2017,All ages,Both,Dengue,Percent of total deaths,0.0723339
Global,2007,All ages,Both,Dengue,Deaths annual % change,0.036266847
Global,2017,All ages,Both,Yellow fever,Percent of total deaths,0.008554714703999999
Global,2007,All ages,Both,Yellow fever,Deaths annual % change,-0.038747964
Global,2017,All ages,Both,Rabies,Percent of total deaths,0.0208385
Global,2007,All ages,Both,Rabies,Deaths annual % change,-0.08199937
Global,2017,All ages,Both,Intestinal nematode infections,Percent of total deaths,0.005730082699
Global,2007,All ages,Both,Intestinal nematode infections,Deaths annual % change,-0.068560738
Global,2017,All ages,Both,Food-borne trematodiases,Percent of total deaths,0
Global,2007,All ages,Both,Food-borne trematodiases,Deaths annual % change,0
Global,2017,All ages,Both,Other neglected tropical diseases,Percent of total deaths,0.0224517
Global,2007,All ages,Both,Other neglected tropical diseases,Deaths annual % change,-0.006857005
Global,2017,All ages,Both,Maternal disorders,Percent of total deaths,0.34610650000000004
Global,2007,All ages,Both,Maternal disorders,Deaths annual % change,-0.031809767
Global,2017,All ages,Both,Neonatal disorders,Percent of total deaths,3.1883669
Global,2007,All ages,Both,Neonatal disorders,Deaths annual % change,-0.033578981
Global,2017,All ages,Both,Protein-energy malnutrition,Percent of total deaths,0.41427850000000005
Global,2007,All ages,Both,Protein-energy malnutrition,Deaths annual % change,-0.034519061
Global,2017,All ages,Both,Iodine deficiency,Percent of total deaths,0
Global,2007,All ages,Both,Iodine deficiency,Deaths annual % change,0
Global,2017,All ages,Both,Vitamin A deficiency,Percent of total deaths,0
Global,2007,All ages,Both,Vitamin A deficiency,Deaths annual % change,0
Global,2017,All ages,Both,Dietary iron deficiency,Percent of total deaths,0
Global,2007,All ages,Both,Dietary iron deficiency,Deaths annual % change,0
Global,2017,All ages,Both,Other nutritional deficiencies,Percent of total deaths,0.06832780000000001
Global,2007,All ages,Both,Other nutritional deficiencies,Deaths annual % change,-0.013273952
Global,2017,All ages,Both,Sexually transmitted infections excluding HIV,Percent of total deaths,0.2128562
Global,2007,All ages,Both,Sexually transmitted infections excluding HIV,Deaths annual % change,-0.030372487
