AÑO;MES;PROVINCIA;VIVIENDAS_TURISTICAS;PLAZAS;PLAZAS_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;PRECIO
2020;8;A Coruña;4963;26295;5,3;0,77;
2020;8;Albacete;587;3655;6,23;0,27;
2020;8;Alicante/Alacant;35716;191898;5,37;2,8;
2020;8;Almería;4811;23325;4,85;1,22;
2020;8;Araba/Álava;332;1680;5,06;0,21;
2020;8;Asturias;4891;24698;5,05;0,8;
2020;8;Badajoz;384;1992;5,19;0,1;
2020;8;Barcelona;25956;107367;4,14;1,0;
2020;8;Bizkaia;2025;7924;3,91;0,38;
2020;8;Burgos;627;3963;6,32;0,25;
2020;8;Cantabria;4886;24578;5,03;1,36;
2020;8;Castellón/Castelló;5574;30022;5,39;1,33;
2020;8;Ceuta;66;253;3,83;0,25;
2020;8;Ciudad Real;511;3082;6,03;0,18;
2020;8;Cuenca;643;3933;6,12;0,41;
2020;8;Cáceres;982;4602;4,69;0,36;
2020;8;Cádiz;11820;59624;5,04;1,91;
2020;8;Córdoba;1672;8594;5,14;0,42;
2020;8;Gipuzkoa;2241;9820;4,38;0,68;
2020;8;Girona;22106;129896;5,88;4,52;
2020;8;Granada;5594;28781;5,14;1,05;
2020;8;Guadalajara;447;2800;6,26;0,26;
2020;8;Huelva;1969;10795;5,48;0,68;
2020;8;Huesca;2133;11923;5,59;1,37;
2020;8;Illes Balears;29237;182748;6,25;4,98;
2020;8;Jaén;527;2627;4,98;0,15;
2020;8;La Rioja;1139;6401;5,62;0,57;
2020;8;Las Palmas;20272;88681;4,37;3,81;
2020;8;León;1002;5290;5,28;0,31;
2020;8;Lleida;2449;15457;6,31;1,0;
2020;8;Lugo;1586;8511;5,37;0,71;
2020;8;Madrid;19597;70522;3,6;0,68;
2020;8;Melilla;43;158;3,67;0,16;
2020;8;Murcia;6146;32079;5,22;0,79;
2020;8;Málaga;34567;178116;5,15;3,85;
2020;8;Navarra;1071;4906;4,58;0,35;
2020;8;Ourense;637;3415;5,36;0,26;
2020;8;Palencia;145;938;6,47;0,13;
2020;8;Pontevedra;5362;28829;5,38;1,1;
2020;8;Salamanca;1314;6118;4,66;0,55;
2020;8;Santa Cruz de Tenerife;17519;73440;4,19;3,44;
2020;8;Segovia;769;5261;6,84;0,62;
2020;8;Sevilla;6432;28394;4,41;0,73;
2020;8;Soria;320;2037;6,37;0,42;
